model	mode	startdt	enddt	duration	offdays	notes
alice_kosmos	online	2021-03-02T22:00Z	2021-03-03T05:45Z	465		
alice_kosmos	online	2021-03-03T22:30Z	2021-03-04T06:52Z	502		
alice_kosmos	online	2021-03-04T23:24Z	2021-03-05T07:22Z	478		
alice_kosmos	online	2021-03-05T23:45Z	2021-03-06T08:28Z	523		
alice_kosmos	online	2021-03-06T22:36Z	2021-03-07T05:46Z	430		
alice_kosmos	online	2021-03-09T23:09Z	2021-03-10T01:22Z	133	2	
alice_kosmos	online	2021-03-11T22:33Z	2021-03-12T05:01Z	388	1	
alice_kosmos	online	2021-03-15T00:57Z	2021-03-15T07:13Z	376	2	
alice_kosmos	online	2021-03-15T22:45Z	2021-03-16T06:49Z	484		
alice_kosmos	online	2021-03-17T01:54Z	2021-03-17T06:46Z	292		
alice_kosmos	online	2021-03-17T22:48Z	2021-03-18T06:28Z	460		
alice_kosmos	online	2021-03-18T23:15Z	2021-03-19T08:19Z	544		
alice_kosmos	online	2021-03-20T22:39Z	2021-03-21T07:37Z	538	1	
alice_kosmos	online	2021-03-22T00:03Z	2021-03-22T08:22Z	499		
alice_kosmos	online	2021-03-22T23:36Z	2021-03-23T07:28Z	472		
alice_kosmos	online	2021-03-23T23:09Z	2021-03-24T07:40Z	511		
alice_kosmos	online	2021-03-24T23:42Z	2021-03-25T06:10Z	388		
alice_kosmos	online	2021-03-25T21:33Z	2021-03-26T06:04Z	511		
alice_kosmos	online	2021-03-27T22:42Z	2021-03-28T06:07Z	445	1	
alice_kosmos	online	2021-03-28T23:45Z	2021-03-29T08:01Z	496		
alice_kosmos	online	2021-03-29T21:54Z	2021-03-30T07:04Z	550		
alice_kosmos	online	2021-03-30T22:48Z	2021-03-31T07:49Z	541		offline 01:28 to 01:56
alice_kosmos	online	2021-03-31T22:12Z	2021-04-01T06:22Z	490		
alice_kosmos	online	2021-04-01T22:39Z	2021-04-02T06:37Z	478		
alice_kosmos	online	2021-04-04T00:48Z	2021-04-04T08:52Z	484	1	
alice_kosmos	online	2021-04-04T23:21Z	2021-04-05T08:25Z	544		
alice_kosmos	online	2021-04-07T22:27Z	2021-04-08T06:19Z	472	2	
alice_kosmos	online	2021-04-09T23:30Z	2021-04-10T08:31Z	541	1	
alice_kosmos	online	2021-04-12T22:51Z	2021-04-13T05:07Z	376	2	
alice_kosmos	online	2021-04-15T01:09Z	2021-04-15T08:07Z	418	1	
alice_kosmos	online	2021-04-16T01:03Z	2021-04-16T06:40Z	337		
alice_kosmos	online	2021-04-18T00:39Z	2021-04-18T07:16Z	397	1	
alice_kosmos	online	2021-04-19T00:18Z	2021-04-19T04:54Z	276		
alice_kosmos	online	2021-04-21T23:36Z	2021-04-22T09:04Z	568	2	
alice_kosmos	online	2021-04-22T23:27Z	2021-04-23T07:04Z	457		
alice_kosmos	online	2021-04-24T00:00Z	2021-04-24T06:04Z	364		
alice_kosmos	online	2021-04-24T23:42Z	2021-04-25T08:01Z	499		
alice_kosmos	online	2021-04-26T23:33Z	2021-04-27T06:49Z	436	1	
alice_kosmos	online	2021-04-28T00:21Z	2021-04-28T05:52Z	331		
alice_kosmos	online	2021-04-28T23:18Z	2021-04-29T06:04Z	406		
alice_kosmos	online	2021-04-30T00:00Z	2021-04-30T05:43Z	343		
alice_kosmos	online	2021-05-01T00:09Z	2021-05-01T03:46Z	217		
alice_kosmos	online	2021-05-01T23:48Z	2021-05-02T06:40Z	412		
alice_kosmos	online	2021-05-02T23:51Z	2021-05-03T06:28Z	397		
alice_kosmos	online	2021-05-05T23:45Z	2021-05-06T07:49Z	484	2	
alice_kosmos	online	2021-05-07T00:09Z	2021-05-07T07:40Z	451		
alice_kosmos	online	2021-05-08T00:12Z	2021-05-08T05:31Z	319		
alice_kosmos	online	2021-05-09T00:24Z	2021-05-09T08:19Z	475		
alice_kosmos	online	2021-05-10T00:12Z	2021-05-10T06:40Z	388		
alice_kosmos	online	2021-05-10T23:57Z	2021-05-11T07:55Z	478		
alice_kosmos	online	2021-05-12T00:15Z	2021-05-12T07:16Z	421		
alice_kosmos	online	2021-05-14T23:12Z	2021-05-15T04:07Z	295	2	
alice_kosmos	online	2021-05-17T00:39Z	2021-05-17T04:13Z	214	1	
alice_kosmos	online	2021-05-19T01:06Z	2021-05-19T09:43Z	517	1	
alice_kosmos	online	2021-05-20T01:09Z	2021-05-20T08:40Z	451		
alice_kosmos	online	2021-05-20T23:54Z	2021-05-21T05:37Z	343		
alice_kosmos	online	2021-05-23T02:42Z	2021-05-23T06:52Z	250	1	offline 06:52 to 07:56
alice_kosmos	online	2021-05-23T07:57Z	2021-05-23T10:37Z	160		
alice_kosmos	online	2021-05-24T01:15Z	2021-05-24T04:46Z	211		
alice_kosmos	online	2021-05-25T22:39Z	2021-05-26T04:49Z	370	1	
alice_kosmos	online	2021-05-27T02:33Z	2021-05-27T08:25Z	352		
alice_kosmos	online	2021-05-28T00:42Z	2021-05-28T04:34Z	232		
alice_kosmos	online	2021-05-29T05:03Z	2021-05-29T11:31Z	388		
alice_kosmos	online	2021-05-30T01:24Z	2021-05-30T07:04Z	340		
alice_kosmos	online	2021-05-31T03:24Z	2021-05-31T05:10Z	106		
alice_kosmos	online	2021-06-03T05:36Z	2021-06-03T12:10Z	394	2	
alice_kosmos	online	2021-06-04T07:03Z	2021-06-04T13:55Z	412		
alice_kosmos	online	2021-06-05T05:24Z	2021-06-05T13:22Z	478		
alice_kosmos	online	2021-06-06T05:24Z	2021-06-06T11:37Z	373		
alice_kosmos	online	2021-06-10T06:15Z	2021-06-10T08:07Z	112	3	
alice_kosmos	online	2021-06-11T19:21Z	2021-06-12T00:28Z	307		
alice_kosmos	online	2021-06-13T19:00Z	2021-06-14T01:58Z	418	1	
alice_kosmos	online	2021-06-14T17:43Z	2021-06-15T03:55Z	612		
alice_kosmos	online	2021-06-19T13:18Z	2021-06-19T16:55Z	217	3	
alice_kosmos	online	2021-06-21T17:00Z	2021-06-22T01:28Z	508	1	
alice_kosmos	online	2021-06-23T18:18Z	2021-06-24T03:52Z	574	1	
alice_kosmos	online	2021-06-25T15:42Z	2021-06-25T18:58Z	196	1	
alice_kosmos	online	2021-06-25T22:27Z	2021-06-26T03:31Z	304		
alice_kosmos	online	2021-06-26T22:09Z	2021-06-27T05:34Z	445		
alice_kosmos	online	2021-06-27T14:09Z	2021-06-27T19:16Z	307		offline 15:52 to 16:14
alice_kosmos	online	2021-06-28T21:54Z	2021-06-29T05:01Z	427		
alice_kosmos	online	2021-06-29T20:54Z	2021-06-30T03:52Z	418		
alice_kosmos	online	2021-07-01T22:03Z	2021-07-02T05:10Z	427	1	
alice_kosmos	online	2021-07-02T21:00Z	2021-07-03T05:40Z	520		
alice_kosmos	online	2021-07-03T23:03Z	2021-07-04T07:49Z	526		
alice_kosmos	online	2021-07-05T22:15Z	2021-07-06T05:22Z	427	1	
alice_kosmos	online	2021-07-07T21:00Z	2021-07-08T06:52Z	592	1	
alice_kosmos	online	2021-07-09T22:42Z	2021-07-10T02:22Z	220	1	
alice_kosmos	online	2021-07-12T20:57Z	2021-07-13T07:01Z	604	2	
alice_kosmos	online	2021-07-13T21:42Z	2021-07-14T05:01Z	439		
alice_kosmos	online	2021-07-14T23:48Z	2021-07-15T05:46Z	358		
alice_kosmos	online	2021-07-15T22:33Z	2021-07-16T07:49Z	556		
alice_kosmos	online	2021-07-16T21:30Z	2021-07-17T04:43Z	433		
alice_kosmos	online	2021-07-19T23:30Z	2021-07-20T05:52Z	382	2	
alice_kosmos	online	2021-07-21T00:00Z	2021-07-21T08:46Z	526		offline 05:14 to 06:17
alice_kosmos	online	2021-07-22T00:06Z	2021-07-22T04:37Z	271		
alice_kosmos	online	2021-07-23T00:39Z	2021-07-23T09:22Z	523		offline 05:19 to 05:56
alice_kosmos	online	2021-07-23T22:27Z	2021-07-24T06:28Z	481		
alice_kosmos	online	2021-07-25T00:03Z	2021-07-25T09:25Z	562		
alice_kosmos	online	2021-07-26T00:39Z	2021-07-26T06:25Z	346		
alice_kosmos	online	2021-07-27T00:00Z	2021-07-27T07:46Z	466		
alice_kosmos	online	2021-07-27T22:36Z	2021-07-28T06:10Z	454		
alice_kosmos	online	2021-07-28T23:12Z	2021-07-29T08:31Z	559		
alice_kosmos	online	2021-07-31T00:12Z	2021-07-31T07:01Z	409		
alice_kosmos	online	2021-08-04T01:09Z	2021-08-04T07:43Z	394	3	
alice_kosmos	online	2021-08-05T02:33Z	2021-08-05T08:55Z	382		
