model	mode	startdt	enddt	duration	offdays	notes
alice_kosmos	private	2021-03-04T01:35Z	2021-03-04T01:45Z	10		
alice_kosmos	private	2021-03-04T04:40Z	2021-03-04T04:45Z	5		
alice_kosmos	private	2021-03-12T04:36Z	2021-03-12T04:46Z	10		
alice_kosmos	private	2021-03-18T03:30Z	2021-03-18T03:40Z	10		
alice_kosmos	private	2021-03-28T01:07Z	2021-03-28T01:35Z	28		
alice_kosmos	private	2021-04-04T03:54Z	2021-04-04T04:04Z	10		
alice_kosmos	private	2021-04-05T04:44Z	2021-04-05T04:54Z	10		
alice_kosmos	private	2021-04-25T03:43Z	2021-04-25T04:07Z	24		
alice_kosmos	private	2021-05-08T02:50Z	2021-05-08T03:00Z	10		
alice_kosmos	private	2021-05-11T06:40Z	2021-05-11T06:50Z	10		
alice_kosmos	private	2021-05-28T01:54Z	2021-05-28T02:18Z	24		
alice_kosmos	private	2021-05-30T03:48Z	2021-05-30T05:06Z	78		
alice_kosmos	private	2021-06-11T23:51Z	2021-06-12T00:21Z	30		
alice_kosmos	private	2021-06-15T03:18Z	2021-06-15T03:19Z	1		
alice_kosmos	private	2021-06-26T02:33Z	2021-06-26T02:43Z	10		
alice_kosmos	private	2021-07-14T01:41Z	2021-07-14T01:51Z	10		
alice_kosmos	private	2021-07-17T03:50Z	2021-07-17T03:55Z	5		
alice_kosmos	private	2021-07-23T02:05Z	2021-07-23T02:15Z	10		
alice_kosmos	private	2021-07-25T05:41Z	2021-07-25T05:51Z	10		
alice_kosmos	private	2021-07-25T08:23Z	2021-07-25T08:33Z	10		
alice_kosmos	private	2021-08-07T03:44Z	2021-08-07T04:00Z	16		
alice_kosmos	private	2021-08-14T04:26Z	2021-08-14T04:36Z	10		
alice_kosmos	private	2021-08-15T02:11Z	2021-08-15T02:21Z	10		
alice_kosmos	private	2021-08-19T07:44Z	2021-08-19T07:52Z	8		
alice_kosmos	private	2021-08-19T08:17Z	2021-08-19T08:37Z	20		
alice_kosmos	private	2021-08-24T05:53Z	2021-08-24T06:03Z	10		
alice_kosmos	private	2021-08-24T07:01Z	2021-08-24T07:11Z	10		
alice_kosmos	private	2021-08-29T00:56Z	2021-08-29T01:34Z	38		
alice_kosmos	private	2021-09-01T22:20Z	2021-09-01T22:43Z	23		
alice_kosmos	private	2021-09-04T21:16Z	2021-09-04T21:40Z	24		
alice_kosmos	private	2021-09-11T21:41Z	2021-09-11T21:51Z	10		
alice_kosmos	private	2021-09-21T06:10Z	2021-09-21T06:24Z	14		
alice_kosmos	private	2021-09-21T07:59Z	2021-09-21T08:09Z	10		
alice_kosmos	private	2021-09-22T23:29Z	2021-09-22T23:49Z	20		
alice_kosmos	private	2021-09-23T09:41Z	2021-09-23T09:51Z	10		
alice_kosmos	private	2021-09-24T06:46Z	2021-09-24T06:54Z	8		
alice_kosmos	private	2021-09-24T04:31Z	2021-09-24T04:45Z	14		
alice_kosmos	private	2021-10-14T03:58Z	2021-10-14T04:08Z	10		
alice_kosmos	private	2021-11-02T00:58Z	2021-11-02T01:08Z	10		
alice_kosmos	private	2021-11-02T04:55Z	2021-11-02T05:10Z	15		
alice_kosmos	private	2021-11-09T00:46Z	2021-11-09T01:01Z	15		
alice_kosmos	private	2021-11-09T02:01Z	2021-11-09T02:11Z	10		
alice_kosmos	private	2021-11-09T03:19Z	2021-11-09T03:29Z	10		
alice_kosmos	private	2021-11-12T03:37Z	2021-11-12T04:02Z	25		
alice_kosmos	private	2021-11-14T01:17Z	2021-11-14T01:29Z	12		
alice_kosmos	private	2021-11-18T03:59Z	2021-11-18T04:19Z	20		
alice_kosmos	private	2021-11-23T05:16Z	2021-11-23T05:28Z	12		
alice_kosmos	private	2021-11-28T05:16Z	2021-11-28T05:36Z	20		
alice_kosmos	private	2021-11-29T03:07Z	2021-11-29T03:18Z	11		
alice_kosmos	private	2021-11-29T03:37Z	2021-11-29T03:47Z	10		
alice_kosmos	private	2021-12-08T01:16Z	2021-12-08T01:31Z	15		
alice_kosmos	private	2021-12-08T02:28Z	2021-12-08T02:51Z	23		
alice_kosmos	private	2021-12-18T05:19Z	2021-12-18T05:43Z	24		
